Constituency,Seats,Candidates
Laois-Offaly,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Limerick City,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Limerick County,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Longford-Westmeath,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Louth,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Mayo,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Meath East,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Meath West,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Roscommon-Galway,3,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Sligo-Leitrim,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Tipperary,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Waterford,4,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Wexford,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
Wicklow,5,"Makai Hensley, Lilianna Gonzalez, Dakota Mays, Nathaniel Cantu, Pierre Dalton, Riley West, Conrad Lawrence, Dania Villa, Jimena O'Connor, Julie Walker, Tyrone Bowman"
